committee_id,chamber,name
2526,H,Subcommittee on Highways and Transit
2301,H,Education And The Workforce
2311,H,Oversight And Government Reform
2329,S,Homeland Security And Governmental Affairs
2333,S,Veterans' Affairs
2544,H,Subcommittee on Border and Maritime Security
2316,H,Veterans' Affairs
2955,H,Subcommittee on Environment
2355,H,Subcommittee on Health
2850,H,Subcommittee on Immigration And Border Security
2317,H,Ways And Means
3359,H,Subcommittee on Federal Lands
2304,H,Financial Services
2546,H,"Subcommittee on Economic Development, Public Buildings and Emergency Management"
2849,H,"Subcommittee on Crime, Terrorism, Homeland Security, And Investigations"
2300,H,Budget
2852,H,"Subcommittee on Courts, Intellectual Property, And The Internet"
2308,H,Intelligence
2851,H,Subcommittee on the Constitution And Civil Justice
2330,S,Judiciary
2307,H,Administration
2551,H,Subcommittee on Water Resources and Environment
3661,H,Subcommittee on Digital Commerce and Consumer Protection
2629,H,Subcommittee on Trade
2362,H,Subcommittee on Emerging Threats and Capabilities
2360,H,Subcommittee on Readiness
2853,H,"Subcommittee on Regulatory Reform, Commercial And Antitrust Law"
2598,H,Subcommittee on Economic Opportunity
2361,H,Subcommittee on Military Personnel
2324,S,Energy And Natural Resources
2621,H,Subcommittee on General Farm Commodities and Risk Management
2367,H,Subcommittee on Energy and Mineral Resources
2628,H,Subcommittee on Human Resources
2323,S,"Commerce, Science, And Transportation"
2328,S,"Health, Education, Labor, And Pensions"
3247,H,Conservation and Forestry
2630,H,Subcommittee on Social Security
2321,S,"Banking, Housing, And Urban Affairs"
2325,S,Environment And Public Works
2636,H,Subcommittee on Counterterrorism and Intelligence
2358,H,Subcommittee on Communications and Technology
3354,H,Subcommittee on Livestock and Foreign Agriculture
2327,S,Foreign Relations
2933,H,Subcommittee on Energy
2583,H,Subcommittee on Strategic Forces
3059,H,Subcommittee on Research and Technology
3248,H,Nutrition
2305,H,Foreign Affairs
3361,H,"Subcommittee on Water, Power and Oceans"
2298,H,Appropriations
2597,H,Subcommittee on Disability Assistance and Memorial Affairs
2299,H,Armed Services
2549,H,Subcommittee on Aviation
2310,H,Natural Resources
2309,H,Judiciary
3398,H,"Subcommittee on Indian, Insular and Alaska Native Affairs"
2601,H,"Subcommittee on Emergency Preparedness, Response and Communications"
3245,H,"Biotechnology, Horticulture, and Research"
2566,H,Subcommittee on Asia and the Pacific
2326,S,Finance
2335,S,Indian Affairs
3681,H,Subcommittee on Cybersecurity and Infrastructure Protection
2558,H,Subcommittee on the Western Hemisphere
3246,H,"Commodity Exchanges, Energy, and Credit"
2314,H,Small Business
