people_id,name,party,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid
8955,Nydia Velazquez,D,Rep,HD-NY-7,17658223,26975,N00001102,Nydia_Velazquez,158981
8957,Frank Pallone,D,Rep,HD-NJ-6,17658803,26951,N00000781,Frank_Pallone,158957
8963,Kathy Castor,D,Rep,HD-FL-14,170335,53825,N00027514,Kathy_Castor,248289
8964,Gerald Connolly,D,Rep,HD-VA-11,16577898,95078,N00029891,Gerald_Connolly,267105
8965,Henry Cuellar,D,Rep,HD-TX-28,6443275,5486,N00024978,Henry_Cuellar,199164
8967,Diana DeGette,D,Rep,HD-CO-1,6006202,561,N00006134,Diana_DeGette,158770
8970,Eliot Engel,D,Rep,HD-NY-16,17658812,26972,N00001003,Eliot_Engel,158986
8971,Anna Eshoo,D,Rep,HD-CA-18,8050793,26741,N00007335,Anna_Eshoo,158731
8972,Bill Foster,D,Rep,HD-IL-11,16623751,101632,N00029139,Bill_Foster,263138
8973,Gene Green,D,Rep,HD-TX-29,11053772,27100,N00005870,Gene_Green,159099
8976,Henry Johnson,D,Rep,HD-GA-4,17658662,68070,N00027848,Hank_Johnson,248293
8979,Ben Lujan,D,Rep,HD-NM-3,9025644,102842,N00029562,"Ben_Lujan,_Sr.",266495
8981,Edward Markey,D,Sen,HD-MA-5,17658675,26900,N00000270,Edward_Markey,158881
8983,Doris Matsui,D,Rep,HD-CA-6,17658638,28593,N00027459,Doris_Matsui,232639
8985,Jerry McNerney,D,Rep,HD-CA-9,6643414,29474,N00026926,Jerry_McNerney,248236
8986,Christopher Murphy,D,Sen,HD-CT-5,6384200,17189,N00027566,Chris_Murphy_(Connecticut),193324
8987,Bill Pascrell,D,Rep,HD-NJ-9,16580040,478,N00000751,Bill_Pascrell,158959
8988,Janice Schakowsky,D,Rep,HD-IL-9,6419995,6387,N00004724,Jan_Schakowsky,158836
8989,Brad Sherman,D,Rep,HD-CA-30,369166,142,N00006897,Brad_Sherman,158741
8994,Niki Tsongas,D,Rep,HD-MA-3,17658789,89417,N00029026,Niki_Tsongas,259708
8995,Debbie Wasserman Schultz,D,Rep,HD-FL-23,704716,24301,N00026106,Debbie_Wasserman_Schultz,226499
8997,Peter Welch,D,Rep,HD-VT,9959484,51272,N00000515,Peter_Welch,210068
9004,Tammy Baldwin,D,Sen,HD-WI-2,2924660,3470,N00004367,Tammy_Baldwin,159127
9005,Xavier Becerra,D,Rep,HD-CA-34,16562595,26754,N00009774,Xavier_Becerra,158747
9010,Earl Blumenauer,D,Rep,HD-OR-3,4977792,367,N00007727,Earl_Blumenauer,159028
9012,Madeleine Bordallo,D,Rep,HD-GU,0,1751,N00024866,Madeleine_Bordallo,0
9014,Robert Brady,D,Rep,HD-PA-1,17658828,2519,N00001619,Robert_Brady,159031
9016,G. Butterfield,D,Rep,HD-NC-1,6135165,41077,N00027035,G.K._Butterfield,224949
9017,Michael Capuano,D,Rep,HD-MA-7,17658790,18883,N00000267,Michael_Capuano,158882
9019,Andre Carson,D,Rep,HD-IN-7,17658782,84917,N00029513,Andr%C3%A9_Carson,263260
9021,Yvette Clarke,D,Rep,HD-NY-9,5418023,44741,N00026961,Yvette_Clarke,248335
9022,Lacy Clay,D,Rep,HD-MO-1,3798170,8967,N00012460,William_Lacy_Clay,205779
9023,Emanuel Cleaver,D,Rep,HD-MO-5,4396432,39507,N00026790,Emanuel_Cleaver,226522
9024,James Clyburn,D,Rep,HD-SC-6,5019671,27066,N00002408,James_Clyburn,159060
9025,Steve Cohen,D,Rep,HD-TN-9,6442808,24340,N00003225,"Steve_Hobbs,_Missouri_Representative",198993
9026,John Conyers,D,Rep,HD-MI-13,17658680,26904,N00004029,John_Conyers_Jr.,158908
9027,Jim Cooper,D,Rep,HD-TN-5,17658367,48891,N00003132,Jim_Cooper_(Tennessee),211701
9029,Joe Courtney,D,Rep,HD-CT-2,7236851,30333,N00024842,Joe_Courtney,248833
9030,Elijah Cummings,D,Rep,HD-MD-7,5430817,345,N00001971,Elijah_Cummings,158891
9032,Danny Davis,D,Rep,HD-IL-7,16565454,233,N00004884,Danny_K._Davis,158834
9033,Susan Davis,D,Rep,HD-CA-53,2550215,8168,N00009604,Susan_Davis_(California),193104
9034,Peter DeFazio,D,Rep,HD-OR-4,17658713,27037,N00007781,Peter_DeFazio,159029
9035,Rosa DeLauro,D,Rep,HD-CT-3,5349073,26788,N00000615,Rosa_DeLauro,158778
9037,Lloyd Doggett,D,Rep,HD-TX-35,17658622,21689,N00006023,Lloyd_Doggett,159080
9038,Michael Doyle,D,Rep,HD-PA-14,13005560,55925,N00001373,Michael_Doyle_(Pennsylvania_Congress),159048
9041,Keith Ellison,D,Rep,HD-MN-5,6515997,38982,N00028257,Keith_Ellison_(Minnesota),212972
9045,Marcia Fudge,D,Rep,HD-OH-11,14904741,110640,N00030490,Marcia_Fudge,271756
9047,Kirsten Gillibrand,D,Sen,HD-NY-20,1577524,65147,N00027658,Kirsten_Gillibrand,248345
9050,Al Green,D,Rep,HD-TX-9,11567524,49680,N00026686,Al_Green_(Texas),226547
9051,Raul Grijalva,D,Rep,HD-AZ-3,17657668,28253,N00025284,Raul_Grijalva,211719
9052,Luis Gutierrez,D,Rep,HD-IL-4,12430974,26841,N00004874,Luis_Gutierrez,158831
9056,Alcee Hastings,D,Rep,HD-FL-20,17657879,26798,N00002884,Alcee_Hastings,158806
9057,Martin Heinrich,D,Sen,HD-NM-1,8939798,74517,N00029835,Martin_Heinrich,266934
9058,Brian Higgins,D,Rep,HD-NY-26,4689854,23127,N00027060,Brian_Higgins,197797
9059,James Himes,D,Rep,HD-CT-4,14257522,106744,N00029070,Jim_Himes,266938
9061,Mazie Hirono,D,Sen,HD-HI-2,6401094,1677,N00028139,Mazie_Hirono,248294
9065,Steny Hoyer,D,Rep,HD-MD-5,5702081,26890,N00001821,Steny_Hoyer,158889
9068,Sheila Jackson-Lee,D,Rep,HD-TX-18,6716263,21692,N00005818,Sheila_Jackson_Lee,159088
9069,Eddie Johnson,D,Rep,HD-TX-30,17658377,27098,N00008122,Eddie_Bernice_Johnson,159100
9070,Marcy Kaptur,D,Rep,HD-OH-9,3503114,27016,N00003522,Marcy_Kaptur,159009
