bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
896635,567284,2017-01-11,House,On passage RC# 45,238,183,13,0,434
896635,567286,2017-01-11,House,On motion to recommit with instructions RC# 44,190,233,11,0,434
896635,567287,2017-01-11,House,On agreeing to the Grijalva amendment (A014) H.Amdt.29 RC# 43,185,236,13,0,434
896635,567288,2017-01-11,House,On agreeing to the Tonko amendment (A013) H.Amdt.28 RC# 42,188,235,11,0,434
896635,567289,2017-01-11,House,On agreeing to the Scott (VA) amendment (A012) H.Amdt.27 RC# 41,195,227,12,0,434
896635,567290,2017-01-11,House,On agreeing to the Ruiz amendment (A011) H.Amdt.26 RC# 40,190,233,11,0,434
896635,567291,2017-01-11,House,On agreeing to the Johnson (GA) amendment (A010) H.Amdt.25 RC# 39,188,234,12,0,434
896635,567292,2017-01-11,House,On agreeing to the Cicilline amendment (A009) H.Amdt.24 RC# 38,190,232,12,0,434
896635,567293,2017-01-11,House,On agreeing to the Castor (FL) amendment (A008) H.Amdt.23 RC# 37,189,231,14,0,434
896635,567294,2017-01-11,House,On agreeing to the Peterson amendment (A005) H.Amdt.20 RC# 36,260,161,13,0,434
896635,567295,2017-01-11,House,On agreeing to the Goodlatte amendment (A001) H.Amdt.16 RC# 35,237,185,12,0,434
896636,686215,2018-01-18,House,On motion the House agree with an amendment to the Senate amendment RC# 33,230,197,4,0,431
896636,686216,2018-01-18,Senate,Motion to proceed to consideration of the House message to accompany H.R. 195 RC# 13,97,2,1,0,100
896636,686481,2018-01-20,Senate,Motion by Senator McConnell to refer to Senate Committee on Appropriations the House message to accompany H.R. 195 with instructions to report back forthwith with the following amendment (SA 1905) tabled in Senate RC# 15,55,44,1,0,100
896636,686482,2018-01-22,Senate,Cloture on the motion to concur in the House amendment to the Senate amendment to H.R. 195 RC# 14,50,49,1,0,100
896636,687025,2018-01-22,House,On motion that the House agree to the Senate amendment to the House amendment to the Senate amendment RC# 44,266,150,14,0,430
896636,687026,2018-01-22,Senate,Senate concurred in the House amendment to the Senate amendment to H.R. 195 with an amendment (SA 1917) RC# 17,81,18,1,0,100
896636,687028,2018-01-22,Senate,Cloture on the motion to concur in the House amendment to the Senate amendment to H.R. 195 with an amendment (SA 1917) RC# 16,81,18,1,0,100
896645,566974,2017-01-05,House,On Agreeing to the Resolution,342,80,11,0,433
896659,677522,2017-10-03,House,On passage RC# 549,237,189,7,0,433
896659,677523,2017-10-03,House,On motion to recommit with instructions RC# 548,187,238,8,0,433
896661,567329,2017-01-11,House,On motion to suspend the rules and pass the bill RC# 34,386,17,31,0,434
896664,567026,2017-01-05,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 8 rejected in Senate S.Amdt.8 RC# 2,48,52,0,0,100
896664,567027,2017-01-04,Senate,Motion to proceed to consideration of measure RC# 1,51,48,1,0,100
896664,567076,2017-01-09,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 20 rejected in Senate S.Amdt.20 RC# 4,49,47,4,0,100
896664,567077,2017-01-09,Senate,Amendment SA 1 S.Amdt.1 RC# 3,14,83,3,0,100
896664,567174,2017-01-10,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 52 rejected in Senate S.Amdt.52 RC# 5,31,67,2,0,100
896664,567189,2017-01-10,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 19 rejected in Senate S.Amdt.19 RC# 6,49,49,2,0,100
896664,567304,2017-01-12,Senate,Resolution RC# 26,51,48,1,0,100
896664,567307,2017-01-12,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 86 rejected in Senate S.Amdt.86 RC# 25,49,49,2,0,100
896664,567308,2017-01-12,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 180 rejected in Senate S.Amdt.180 RC# 24,51,47,2,0,100
896664,567309,2017-01-12,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 82 rejected in Senate S.Amdt.82 RC# 23,49,49,2,0,100
896664,567310,2017-01-12,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 184 rejected in Senate S.Amdt.184 RC# 22,52,46,2,0,100
896664,567311,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 188 rejected in Senate S.Amdt.188 RC# 21,47,51,2,0,100
896664,567312,2017-01-11,Senate,Amendment SA 178 S.Amdt.178 RC# 20,46,52,2,0,100
896664,567313,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 174 rejected in Senate S.Amdt.174 RC# 19,49,49,2,0,100
896664,567314,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 83 rejected in Senate S.Amdt.83 RC# 18,48,50,2,0,100
896664,567315,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 179 rejected in Senate S.Amdt.179 RC# 17,51,47,2,0,100
896664,567316,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 181 rejected in Senate S.Amdt.181 RC# 16,47,51,2,0,100
896664,567317,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 61 rejected in Senate S.Amdt.61 RC# 15,49,49,2,0,100
896664,567318,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 104 rejected in Senate S.Amdt.104 RC# 14,48,50,2,0,100
896664,567319,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 176 rejected in Senate S.Amdt.176 RC# 13,50,48,2,0,100
896664,567320,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 81 rejected in Senate S.Amdt.81 RC# 12,48,50,2,0,100
896664,567321,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 167 rejected in Senate S.Amdt.167 RC# 11,51,47,2,0,100
896664,567322,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 64 rejected in Senate S.Amdt.64 RC# 10,51,47,2,0,100
896664,567323,2017-01-11,Senate,Motion to waive all applicable budgetary discipline with respect to amendment SA 173 rejected in Senate S.Amdt.173 RC# 9,51,47,2,0,100
896664,567324,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 60 rejected in Senate S.Amdt.60 RC# 8,48,50,2,0,100
896664,567325,2017-01-11,Senate,Motion to waive section 305(b)(2) of the CBA with respect to amendment SA 13 rejected in Senate S.Amdt.13 RC# 7,47,51,2,0,100
896664,567638,2017-01-13,House,On agreeing to the resolution RC# 58,227,198,10,0,435
896664,567640,2017-01-13,House,On agreeing to the Yarmuth amendment (A001) H.Amdt.44 RC# 57,149,272,13,0,434
896666,769997,2018-07-13,House,On passage RC# 328,230,168,30,0,428
896666,769998,2018-07-13,House,On motion to recommit with instructions RC# 327,180,219,29,0,428
896672,769978,2018-07-11,House,On passage RC# 321,222,193,13,0,428
896672,769979,2018-07-11,House,On motion to recommit with instructions RC# 320,187,228,13,0,428
896691,671416,2017-06-27,House,"On motion to suspend the rules and pass the bill, as amended RC# 330",424,1,8,0,433
896703,680050,2017-12-06,House,On Passage,231,198,4,0,433
896703,680051,2017-12-06,House,On Motion to Recommit with Instructions,190,236,6,0,432
896705,675327,0000-00-00,Senate,On Cloture on the Motion to Proceed H.R. 2810,89,3,8,0,100
896705,676255,0000-00-00,Senate,On the Cloture Motion S.Amdt. 1003 to H.R. 2810 (National Defense Authorization Act for Fiscal Year 2018),84,9,7,0,100
896705,781220,2018-12-20,House,On motion that the House agree with an amendment to the RC# 470,220,183,29,0,432
896709,566979,2017-01-04,House,On passage RC# 8,238,184,11,0,433
896709,566981,2017-01-04,House,On motion to recommit with instructions RC# 7,183,236,14,0,433
896723,567178,2017-01-10,House,On passage RC# 31,344,73,17,0,434
