type_id,type,sast_bill_number,sast_bill_id,bill_id
8,Related,HB1012,960007,1020831
8,Related,HB1090,963854,1020831
8,Related,HB1551,993216,1020831
8,Related,HB1659,996361,1020831
8,Related,HB1962,1003847,1020831
8,Related,HB2030,1004336,1020831
8,Related,HB3035,1020811,1020831
8,Related,HB3037,1020788,1020831
8,Related,HB3483,1023562,1020831
8,Related,SB264,942502,1020831
8,Related,SB405,966133,1020831
8,Related,SB666,993229,1020831
8,Related,SB852,1003881,1020831
8,Related,HB1897,1003474,1020831
8,Related,HB3084,1021079,1020831
8,Related,HB4233,1030003,1020831
8,Related,HR619,1031807,1020831
8,Related,SB1444,1021066,1020831
8,Related,SB1,1033184,1020831
8,Related,SB2170,1033402,1020831
8,Related,SB2222,1036284,1020831
8,Related,HR667,1037371,1020831
2,Similar To,HB1,1020831,1020831
8,Related,HR668,1038038,1020831
8,Related,SB2281,1046855,1020831
8,Related,SB2291,1053098,1020831
8,Related,HB4459,1033185,1020831
8,Related,HB828,944616,1020831
8,Related,SB293,944728,1020831
8,Related,HB5903,1119514,1020831
8,Related,HB4319,1030875,1020831
8,Related,HB5422,1110364,1020831
8,Related,HB24,896669,1008998
8,Related,HB79,896723,1008998
8,Related,HB447,908907,1008998
8,Related,HB477,911380,1008998
8,Related,HB910,950594,1008998
8,Related,HB1031,961596,1008998
8,Related,HB1116,965887,1008998
8,Related,HB1312,982204,1008998
8,Related,HB1343,982178,1008998
8,Related,HB1426,988056,1008998
8,Related,HB1637,995734,1008998
8,Related,HB1667,996922,1008998
8,Related,HB1699,997420,1008998
8,Related,HB1948,1003935,1008998
8,Related,HB2128,1008552,1008998
8,Related,HB2201,1009512,1008998
8,Related,HB2204,1009508,1008998
8,Related,HB2226,1009769,1008998
8,Related,SB327,950525,1008998
8,Related,SB370,961598,1008998
8,Related,SB416,965931,1008998
8,Related,SB488,980670,1008998
8,Related,SB567,988085,1008998
8,Related,SB779,1001921,1008998
8,Related,HB2255,1009775,1008998
8,Related,SB310,948555,1008998
8,Related,SB639,993205,1008998
8,Related,HR375,1018316,1008998
8,Related,HB2706,1016567,1008998
8,Related,HB2948,1020303,1008998
8,Related,SB1751,1024169,1008998
8,Related,SB1753,1024204,1008998
8,Related,HB1257,978929,1008998
8,Related,HB3903,1027485,1008998
8,Related,HB3948,1027719,1008998
8,Related,HB3950,1027710,1008998
8,Related,HB3971,1027860,1008998
8,Related,HB3973,1027829,1008998
8,Related,HB4015,1028237,1008998
8,Related,HB1645,996371,1008998
8,Related,SB2013,1029450,1008998
2,Similar To,HR609,1030371,1008998
8,Related,HB4247,1030110,1008998
8,Related,HB4263,1030375,1008998
8,Related,HB4267,1030387,1008998
8,Related,HB4279,1030392,1008998
8,Related,HB4248,1030093,1008998
8,Related,HB4296,1030587,1008998
8,Related,HB4452,1032361,1008998
2,Similar To,HR635,1033400,1008998
8,Related,HB4302,1030588,1008998
2,Similar To,HR647,1034996,1008998
8,Related,HB4529,1033754,1008998
2,Similar To,HR657,1036275,1008998
8,Related,HB4545,1034423,1008998
8,Related,HB4292,1030358,1008998
8,Related,HB1153,965737,1008998
8,Related,HB2954,1020285,1008998
8,Related,HB4738,1048740,1008998
2,Similar To,HR693,1061002,1008998
8,Related,HB4294,1030574,1008998
8,Related,HB4753,1053120,1008998
8,Related,HB4755,1053100,1008998
8,Related,HB4756,1053094,1008998
8,Related,HB4758,1053113,1008998
8,Related,HB4771,1058036,1008998
8,Related,HB4791,1058968,1008998
2,Similar To,HR725,1081547,1008998
8,Related,HB3978,1027845,1008998
8,Related,HB4517,1033759,1008998
8,Related,HB5054,1090875,1008998
2,Similar To,HR747,1096892,1008998
8,Related,SB2155,1032226,1008998
2,Similar To,HR773,1105422,1008998
8,Related,HB5051,1090878,1008998
8,Related,SB2126,1031977,1008998
8,Related,HB5614,1115221,1008998
2,Similar To,HR905,1119283,1008998
8,Related,HB5756,1117732,1008998
8,Related,HB5877,1119139,1008998
8,Related,SB3070,1122489,1008998
8,Related,HB6956,1127314,1008998
8,Related,SB3518,1127344,1008998
8,Related,HB4319,1030875,1008998
8,Related,SB3733,1132671,1008998
8,Related,HR156,978914,959954
8,Related,SB324,950447,959981
1,Same As,SB349,956938,959992
1,Same As,SB153,916422,959997
8,Related,HR156,978914,959968
8,Related,SB676,996322,959968
1,Same As,HB118,896734,959996
8,Related,HB3037,1020788,960007
8,Related,HB1,1020831,960007
2,Similar To,HR619,1031807,960007
8,Related,SB1880,1027232,960007
8,Related,SB2603,1108785,959977
1,Same As,SB479,980669,959948
8,Related,HB5266,1105423,959952
8,Related,SB361,959944,959995
8,Related,SB362,959975,959973
8,Related,HB6275,1123858,959973
1,Same As,SB363,959999,960010
1,Same As,SB356,960013,959961
8,Related,HB2251,1009774,896690
8,Related,SB609,991838,896690
8,Related,HB10,1008998,961596
8,Related,SB370,961598,961596
2,Similar To,HR375,1018316,961596
1,Same As,SB378,961654,961634
8,Related,HB3668,1025390,961634
1,Same As,SB30,898496,961645
8,Related,SB1692,1023952,961659
1,Same As,SB413,966200,961605
8,Related,HR324,1014336,961628
1,Same As,SB367,961594,961628
8,Related,SB1200,1015539,961587
8,Related,SB360,959953,961655
8,Related,HB12,1020796,961655
8,Related,SB1437,1020894,961655
8,Related,SB1880,1027232,961655
1,Same As,SB374,961603,961617
8,Related,HB302,899756,961617
1,Same As,SB307,948864,961658
8,Related,SB1938,1027875,961622
8,Related,SB3621,1130211,961622
8,Related,SB3240,1124486,961606
1,Same As,SB372,961592,961664
8,Related,HB5531,1113734,961664
8,Related,SB1871,1027240,961626
8,Related,HB5674,1116366,961626
8,Related,SB2372,1081552,961626
8,Related,SB2906,1119529,961626
1,Same As,SB341,953388,963824
8,Related,HB2935,1019930,963824
8,Related,HB4380,1031652,896732
1,Same As,HB3341,1022995,963839
8,Related,SB395,964045,963810
